Timestamp,Type,Action,Key,Flight Time
2024-08-07 16:04:42.117803574,v,,press,0.736525298
2024-08-07 16:04:42.197120667,v,,release,0.079317093
2024-08-07 16:04:42.357944489,e,,press,0.160823822
2024-08-07 16:04:42.421894312,r,,press,0.063949823
2024-08-07 16:04:42.469783306,e,,release,0.047888994
2024-08-07 16:04:42.533869743,r,,release,0.064086437
2024-08-07 16:04:42.581888914,i,,press,0.048019171
2024-08-07 16:04:42.694150925,i,,release,0.112262011
2024-08-07 16:04:42.965983391,n,,press,0.271832466
2024-08-07 16:04:43.094071865,n,,release,0.128088474
2024-08-07 16:04:43.189318895,g,,press,0.09524703
2024-08-07 16:04:43.302188873,g,,release,0.112869978
2024-08-07 16:04:43.302188873,Key.space,,press,0.0
2024-08-07 16:04:43.445834637,Key.space,,release,0.143645764
2024-08-07 16:04:43.461562872,t,,press,0.015728235
2024-08-07 16:04:43.573513985,t,,release,0.111951113
2024-08-07 16:04:43.574508905,h,,press,0.00099492
2024-08-07 16:04:43.670850277,h,,release,0.096341372
2024-08-07 16:04:44.373438358,Key.ctrl_l,,press,0.702588081
2024-08-07 16:04:44.453776598,Key.backspace,,press,0.08033824
2024-08-07 16:04:44.565660715,Key.backspace,,release,0.111884117
2024-08-07 16:04:44.581654787,Key.ctrl_l,,release,0.015994072
2024-08-07 16:04:44.933622122,Key.ctrl_l,,press,0.351967335
2024-08-07 16:04:45.029307365,Key.backspace,,press,0.095685243
2024-08-07 16:04:45.125793457,Key.ctrl_l,,release,0.096486092
2024-08-07 16:04:45.127353191,Key.backspace,,release,0.001559734
2024-08-07 16:04:45.894159794,d,,press,0.766806603
2024-08-07 16:04:46.005637884,d,,release,0.11147809
2024-08-07 16:04:46.149388313,i,,press,0.143750429
2024-08-07 16:04:46.229393959,i,,release,0.080005646
2024-08-07 16:04:46.326161385,s,,press,0.096767426
2024-08-07 16:04:46.405939817,s,,release,0.079778432
2024-08-07 16:04:46.550299406,c,,press,0.144359589
2024-08-07 16:04:46.631003380,c,,release,0.080703974
2024-08-07 16:04:46.662007093,o,,press,0.031003713
2024-08-07 16:04:46.758142233,o,,release,0.09613514
2024-08-07 16:04:46.902410030,v,,press,0.144267797
2024-08-07 16:04:46.982208014,v,,release,0.079797984
2024-08-07 16:04:47.158191681,e,,press,0.175983667
2024-08-07 16:04:47.253983974,r,,press,0.095792293
2024-08-07 16:04:47.270001173,e,,release,0.016017199
2024-08-07 16:04:47.350174189,r,,release,0.080173016
2024-08-07 16:04:47.382218599,i,,press,0.03204441
2024-08-07 16:04:47.509746312,i,,release,0.127527713
2024-08-07 16:04:47.541781187,n,,press,0.032034875
2024-08-07 16:04:47.590299129,g,,press,0.048517942
2024-08-07 16:04:47.638532639,n,,release,0.04823351
2024-08-07 16:04:47.702220201,g,,release,0.063687562
2024-08-07 16:04:47.703175783,Key.space,,press,0.000955582
2024-08-07 16:04:47.798120737,Key.space,,release,0.094944954
2024-08-07 16:04:47.878229618,t,,press,0.080108881
2024-08-07 16:04:47.942028046,h,,press,0.063798428
2024-08-07 16:04:47.973625660,t,,release,0.031597614
